BHMC Worker Log
20 workers × 750 steps
xTB method        : GFN2-xTB
Temperature        : 600 K
Adaptive operators : True
Operators          : ['twist', 'large_displacement', 'mirror', 'roto_reflection', 'exchange', 'random_so3', 'principal_axis_rotation', 'com_com_approach', 'com_com_separation', 'random_displacement', 'random_rotation', 'local_twist', 'correlated_displacement', 'small_principal_axis_rotation']
Simulation box     : <modules.box.SimulationBox object at 0x7fea99e7c850>
Worker 3: Step 35 accepted, E=-10.836115 Ha
Worker 2: Step 96 accepted, E=-10.834162 Ha
Worker 0: Step 22 accepted, E=-10.833549 Ha
Worker 1: Step 125 accepted, E=-10.833286 Ha
Worker 3: Step 36 accepted, E=-10.836120 Ha
Worker 2: Step 97 accepted, E=-10.834134 Ha
Worker 0: Step 23 accepted, E=-10.833505 Ha
Worker 1: Step 126 accepted, E=-10.833421 Ha
Worker 3: Step 37 accepted, E=-10.836135 Ha
Worker 2: Step 98 accepted, E=-10.834154 Ha
Worker 0: Step 24 accepted, E=-10.833380 Ha
Worker 1: Step 127 accepted, E=-10.833471 Ha
Worker 3: Step 38 accepted, E=-10.836083 Ha
Worker 2: Step 99 accepted, E=-10.834686 Ha
Worker 0: Step 25 accepted, E=-10.833564 Ha
Worker 1: Step 128 accepted, E=-10.833796 Ha
Worker 3: Step 39 accepted, E=-10.836092 Ha
Worker 2: Step 100 accepted, E=-10.835221 Ha
Worker 0: Step 26 accepted, E=-10.833545 Ha
Worker 1: Step 129 accepted, E=-10.833416 Ha
Worker 3: Step 40, op=correlated_displacement, ΔE=0.0022 eV, accept=True
Worker 3: Step 40 accepted, E=-10.836010 Ha
Worker 2: Step 101 accepted, E=-10.835227 Ha
Worker 0: Step 27 accepted, E=-10.833582 Ha
Worker 1: Step 130 accepted, E=-10.833492 Ha
Worker 3: Step 41 accepted, E=-10.836077 Ha
Worker 2: Step 102 accepted, E=-10.835239 Ha
Worker 0: Step 28 accepted, E=-10.833542 Ha
Worker 1: Step 131 accepted, E=-10.833355 Ha
Worker 3: Step 42 accepted, E=-10.836039 Ha
Worker 2: Step 103 accepted, E=-10.835227 Ha
Worker 0: Step 29 accepted, E=-10.833587 Ha
Worker 1: Step 132 accepted, E=-10.833440 Ha
Worker 3: Step 43 accepted, E=-10.836090 Ha
Worker 9: No change from 'principal_axis_rotation', skipping.
Worker 0: Step 30 accepted, E=-10.834417 Ha
Worker 1: Step 133 accepted, E=-10.833521 Ha
Worker 3: Step 44 accepted, E=-10.836067 Ha
Worker 6: Step 3 accepted, E=-10.835646 Ha
Worker 0: Step 31 accepted, E=-10.834428 Ha
Worker 9: Step 6 accepted, E=-10.836304 Ha
Worker 2: Step 105 accepted, E=-10.835218 Ha
Worker 1: Step 134 accepted, E=-10.833589 Ha
Worker 6: Step 4 accepted, E=-10.835657 Ha
Worker 3: Step 45 accepted, E=-10.836064 Ha
Worker 0: Step 32 accepted, E=-10.834419 Ha
Worker 9: Step 7 accepted, E=-10.836261 Ha
Worker 2: Step 106 accepted, E=-10.835081 Ha
Worker 1: Step 135 accepted, E=-10.833603 Ha
Worker 6: Step 5 accepted, E=-10.835661 Ha
Worker 0: Step 33 accepted, E=-10.834436 Ha
Worker 9: Step 8 accepted, E=-10.836257 Ha
Worker 1: Step 136 accepted, E=-10.833524 Ha
Worker 6: Step 6 accepted, E=-10.835723 Ha
Worker 3: Step 47 accepted, E=-10.836000 Ha
Worker 0: Step 34 accepted, E=-10.834446 Ha
Worker 2: Step 107 accepted, E=-10.835088 Ha
Worker 9: Step 9 accepted, E=-10.836257 Ha
Worker 1: Step 137 accepted, E=-10.833332 Ha
Worker 12: Step 8 accepted, E=-10.836352 Ha
Worker 0: Step 35 accepted, E=-10.834437 Ha
Worker 3: Step 48 accepted, E=-10.836094 Ha
Worker 6: Step 7 accepted, E=-10.835041 Ha
Worker 9: Step 10, op=large_displacement, ΔE=0.0274 eV, accept=True
Worker 9: Step 10 accepted, E=-10.835251 Ha
